target_id	TF_id	cor	p	in_fimo	target_name	TF_name	cor_sign
Mp1g05630.1	Mp1g10020.1	0.815134557541917	0.000213395105652436	TRUE	Mp1g05630.1	Mp1g10020.1	pos
Mp1g07070.1	Mp1g10020.1	0.810613856680116	0.000246793787938682	FALSE	ARF3	Mp1g10020.1	pos
Mp1g01960.1	Mp1g10030.1	0.847331307993348	6.67878709426084e-05	FALSE	Mp1g01960.1	Mp1g10030.1	pos
Mp1g03100.1	Mp1g10030.1	0.937753082922896	2.45383963592971e-07	FALSE	TRIHELIX26	Mp1g10030.1	pos
Mp1g07070.1	Mp1g10030.1	0.925958749664485	7.3639785158619e-07	FALSE	ARF3	Mp1g10030.1	pos
Mp1g08890.1	Mp1g10030.1	0.910777711532562	2.38435725852248e-06	FALSE	WRKY5	Mp1g10030.1	pos
Mp1g09040.1	Mp1g10030.1	0.839151246058453	9.18359856236783e-05	FALSE	Mp1g09040.1	Mp1g10030.1	pos
Mp1g01010.1	Mp1g10310.1	0.914033991419267	1.88760043329239e-06	FALSE	HD9	CDC5	pos
Mp1g01160.1	Mp1g10310.1	-0.861991401231146	3.59592188443614e-05	TRUE	BHLH34	CDC5	neg
Mp1g03200.1	Mp1g10310.1	-0.880928773722363	1.44482396873258e-05	FALSE	Mp1g03200.1	CDC5	neg
Mp1g04480.1	Mp1g10310.1	0.941590447914766	1.63792756691095e-07	FALSE	HD1	CDC5	pos
Mp1g08890.1	Mp1g10310.1	-0.817727213078624	0.000195977726857199	FALSE	WRKY5	CDC5	neg
Mp1g00510.1	Mp1g10330.1	0.805166370176076	0.00029260844358503	FALSE	Mp1g00510.1	1R-MYB6	pos
Mp1g01110.1	Mp1g10330.1	-0.832889617700756	0.000115848667313845	FALSE	BHLH33	1R-MYB6	neg
Mp1g02320.1	Mp1g10330.1	0.904708632853908	3.60265378063218e-06	FALSE	HD8	1R-MYB6	pos
Mp1g07070.1	Mp1g10330.1	0.842753054708972	7.99944436546962e-05	FALSE	ARF3	1R-MYB6	pos
Mp1g01110.1	Mp1g10440.1	0.88359772401853	1.25521334695122e-05	FALSE	BHLH33	GRAS3	pos
Mp1g02320.1	Mp1g10440.1	-0.913798339558269	1.92037121449218e-06	FALSE	HD8	GRAS3	neg
Mp1g01010.1	Mp1g11660.1	-0.888629336947504	9.53744159026826e-06	FALSE	HD9	HD6	neg
Mp1g01160.1	Mp1g11660.1	0.800814878305551	0.000334009459064699	FALSE	BHLH34	HD6	pos
